City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Henties Bay,NA,2022-03-20 05:00:34,-22.116,14.2845,66.36,82,0,5.08
94,Merauke,ID,2022-03-20 05:00:36,-8.4667,140.3333,86.86,68,97,6.91
95,Castro,BR,2022-03-20 05:00:36,-24.7911,-50.0119,62.53,96,99,6.44
96,Ostrovnoy,RU,2022-03-20 05:00:37,68.0531,39.5131,31.82,86,80,29.64
97,Thompson,CA,2022-03-20 05:00:37,55.7435,-97.8558,4.77,100,84,2.89
98,Nova Vcelnice,CZ,2022-03-20 05:00:37,49.2393,15.0726,33.76,48,0,19.3
99,Sabha,LY,2022-03-20 05:00:38,27.0377,14.4283,64.83,22,98,9.86
100,Bengkulu,ID,2022-03-20 05:00:39,-3.8004,102.2655,84.54,64,96,6.33
101,Olutanga,PH,2022-03-20 05:00:39,7.3106,122.8464,83.16,73,97,1.52
102,Shwebo,MM,2022-03-20 05:00:40,22.5667,95.7,97.93,19,52,7.2
103,Tecoanapa,MX,2022-03-20 05:00:40,16.5167,-98.75,77.32,67,45,4.43
104,Dikson,RU,2022-03-20 05:00:41,73.5069,80.5464,7.02,97,100,2.8
105,Gunjur,GM,2022-03-20 05:00:42,13.2019,-16.7339,67.51,75,25,14.72
106,Nkayi,CG,2022-03-20 05:00:42,-4.1841,13.2884,72.21,97,25,0.92
107,Hithadhoo,MV,2022-03-20 05:00:43,-0.6,73.0833,83.25,74,100,17.02
108,Saint-Francois,FR,2022-03-20 05:00:43,46.4154,3.9054,44.04,87,97,2.3
109,Lorengau,PG,2022-03-20 05:00:44,-2.0226,147.2712,86.4,63,62,8.93
110,Umm Kaddadah,SD,2022-03-20 05:00:44,13.6017,26.6876,65.35,10,35,13.96
111,Hofn,IS,2022-03-20 05:00:44,64.2539,-15.2082,46.17,92,100,33.58
112,Luba,GQ,2022-03-20 05:00:45,3.4568,8.5547,81.27,83,86,6.42
113,Ancud,CL,2022-03-20 05:00:45,-41.8697,-73.8203,55.22,75,100,5.41
114,Naze,JP,2022-03-20 05:00:46,28.3667,129.4833,62.35,58,32,3.36
115,Tuatapere,NZ,2022-03-20 05:00:47,-46.1333,167.6833,65.98,58,36,4.12
116,Saint-Pierre,RE,2022-03-20 05:00:47,-21.3393,55.4781,82.18,95,75,14.97
117,Pasighat,IN,2022-03-20 05:00:48,28.0667,95.3333,90.23,24,83,4.09
118,Buala,SB,2022-03-20 05:00:48,-8.145,159.5921,83.73,75,65,5.14
119,Kamloops,CA,2022-03-20 04:58:54,50.6665,-120.3192,40.57,57,40,6.91
120,Provideniya,RU,2022-03-20 05:00:49,64.3833,-173.3,4.55,85,0,3.56
121,Gilbues,BR,2022-03-20 05:00:49,-9.8317,-45.3439,72.32,76,55,0.58
122,Hohhot,CN,2022-03-20 05:00:50,40.8106,111.6522,37.72,32,25,8.01
123,Cherskiy,RU,2022-03-20 05:00:50,68.75,161.3,13.62,85,22,7.52
124,Airai,TL,2022-03-20 05:00:51,-8.9266,125.4092,76.5,55,53,0.92
125,Krutinka,RU,2022-03-20 05:00:51,56.0055,71.5113,14.74,87,95,17.6
126,Tezu,IN,2022-03-20 05:00:51,27.9167,96.1667,94.98,21,70,4.85
127,Hailar,CN,2022-03-20 05:00:52,49.2,119.7,17.98,73,100,3.87
128,Balapur,IN,2022-03-20 05:00:53,20.6667,76.7667,96.76,11,8,11.25
129,Bolobo,CD,2022-03-20 05:00:53,-2.1667,16.2333,72.68,90,60,4.29
130,Oktyabrskiy,RU,2022-03-20 05:00:53,54.4815,53.471,29.3,89,93,11.45
131,Innisfail,AU,2022-03-20 04:59:29,-17.5333,146.0333,82.49,70,58,10.54
132,Pyaozerskiy,RU,2022-03-20 05:00:54,65.8333,31.1667,39.15,79,46,14.94
133,Port Elizabeth,ZA,2022-03-20 05:00:22,-33.918,25.5701,69.31,97,75,2.3
134,Ionia,US,2022-03-20 04:57:24,42.9873,-85.0711,38.32,93,100,12.66
135,Balatonfenyves,HU,2022-03-20 05:01:56,46.7154,17.4922,33.94,56,6,7.05
136,Kunda,IN,2022-03-20 05:01:56,25.7167,81.5167,98.47,13,1,4.47
