City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Cidreira,BR,2022-04-13 03:58:31,-30.1811,-50.2056,70.07,91,53,6.73
104,Fort Nelson,CA,2022-04-13 03:58:31,58.8053,-122.7002,18.99,38,20,3.44
105,Gat,IL,2022-04-13 03:58:32,31.61,34.7642,56.08,74,7,0.56
106,Upernavik,GL,2022-04-13 03:58:32,72.7868,-56.1549,3.96,97,100,9.53
107,Hermanus,ZA,2022-04-13 03:58:32,-34.4187,19.2345,56.8,91,77,1.81
108,Jackson,US,2022-04-13 03:58:33,42.4165,-122.8345,38.79,89,77,3.42
109,Urucui,BR,2022-04-13 03:58:33,-7.2294,-44.5561,74.46,90,27,2.08
110,Saint-Lo,FR,2022-04-13 03:58:34,49.1162,-1.0903,43.23,93,52,3.4
111,Peleduy,RU,2022-04-13 03:58:34,59.6289,112.7406,35.22,64,89,5.73
112,Sola,VU,2022-04-13 03:58:34,-13.8833,167.55,90.27,66,40,2.3
113,New Norfolk,AU,2022-04-13 03:58:35,-42.7826,147.0587,70.66,42,12,5.01
114,Sindou,BF,2022-04-13 03:58:35,10.6667,-5.1667,81.14,54,60,3.76
115,Mikhaylovka,RU,2022-04-13 03:58:36,50.06,43.2379,52.79,83,100,15.52
116,Los Llanos De Aridane,ES,2022-04-13 03:58:36,28.6585,-17.9182,58.75,88,40,8.05
117,Zhezkazgan,KZ,2022-04-13 03:58:37,47.8043,67.7144,51.78,71,0,6.71
118,Ormara,PK,2022-04-13 03:54:43,25.2088,64.6357,80.33,77,0,7.0
119,Leshan,CN,2022-04-13 03:54:41,29.5623,103.7639,75.04,63,100,3.49
120,Broome,US,2022-04-13 03:58:38,42.2506,-75.833,48.65,63,95,1.99
121,Cabo San Lucas,MX,2022-04-13 03:56:12,22.8909,-109.9124,70.61,79,56,13.11
122,Carutapera,BR,2022-04-13 03:58:38,-1.195,-46.02,76.24,92,97,4.76
123,Wagar,SD,2022-04-13 03:58:39,16.1525,36.2032,85.23,35,6,7.16
124,Lorengau,PG,2022-04-13 03:58:39,-2.0226,147.2712,84.94,69,6,7.43
125,Kitimat,CA,2022-04-13 03:58:39,54.0524,-128.6534,35.98,39,35,8.5
126,San Patricio,US,2022-04-13 03:58:40,28.017,-97.5169,76.89,89,17,17.27
127,Butaritari,KI,2022-04-13 03:58:40,3.0707,172.7902,82.04,76,58,14.88
128,Yar-Sale,RU,2022-04-13 03:49:44,66.8333,70.8333,34.45,100,100,8.57
129,Ostrovnoy,RU,2022-04-13 03:58:41,68.0531,39.5131,17.47,91,76,6.64
130,Avarua,CK,2022-04-13 03:58:41,-21.2078,-159.775,78.85,83,100,8.05
131,Prince George,CA,2022-04-13 03:58:42,53.9166,-122.753,22.44,41,0,14.97
132,Berlevag,NO,2022-04-13 03:58:42,70.8578,29.0864,30.2,82,98,12.15
133,Serenje,ZM,2022-04-13 03:58:43,-13.2325,30.2352,58.64,98,8,4.61
134,Hambantota,LK,2022-04-13 03:58:43,6.1241,81.1185,79.14,100,40,2.3
135,Saint-Philippe,RE,2022-04-13 03:58:44,-21.3585,55.7679,78.39,85,98,15.37
