City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Uribia,CO,11.7139,-72.266,79.34,73,84,21.79,broken clouds
189,Orlik,RU,52.5178,99.825,16.47,67,100,1.86,overcast clouds
190,Segezha,RU,63.7415,34.3222,27.37,98,78,3.0,broken clouds
191,Talaya,RU,61.3833,152.75,11.61,77,97,7.72,overcast clouds
192,Geraldton,AU,-28.7667,114.6,73.81,43,0,16.11,clear sky
193,Tabou,CI,4.423,-7.3528,78.24,90,89,7.83,light rain
194,Kalaleh,IR,37.3807,55.4916,69.03,44,73,15.84,broken clouds
195,Cockburn Town,TC,21.4612,-71.1419,77.22,77,94,25.68,overcast clouds
196,Naze,JP,28.3667,129.4833,70.09,87,37,10.09,scattered clouds
197,Wanning,CN,18.8003,110.3967,85.03,64,5,6.73,clear sky
198,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.26,95,78,4.43,broken clouds
199,Lindas,NO,60.7381,5.16,39.78,78,100,6.24,overcast clouds
200,Mount Gambier,AU,-37.8333,140.7667,70.45,42,6,4.14,clear sky
201,Redmond,US,47.674,-122.1215,41.05,80,100,8.01,overcast clouds
202,Makakilo City,US,21.3469,-158.0858,75.69,69,69,13.02,broken clouds
203,Sinnamary,GF,5.3833,-52.95,77.47,87,89,10.4,overcast clouds
204,Guerrero Negro,MX,27.9769,-114.0611,58.3,65,1,20.11,clear sky
205,Namatanai,PG,-3.6667,152.4333,85.62,65,52,8.93,broken clouds
206,Palmer,US,42.1584,-72.3287,51.93,69,79,2.15,broken clouds
207,Alepe,CI,5.5004,-3.6631,76.87,91,100,2.62,overcast clouds
208,Arman,RU,59.7,150.1667,32.02,53,83,6.04,broken clouds
209,Mayumba,GA,-3.432,10.6554,76.44,91,97,4.88,light rain
210,Lavrentiya,RU,65.5833,-171.0,17.71,87,95,10.49,overcast clouds
211,Saskylakh,RU,71.9167,114.0833,1.47,93,71,9.13,broken clouds
212,Ancud,CL,-41.8697,-73.8203,50.23,84,100,1.14,overcast clouds
213,Marsh Harbour,BS,26.5412,-77.0636,73.9,63,38,17.81,scattered clouds
214,Nurota,UZ,40.5614,65.6886,70.84,42,0,1.72,clear sky
215,Flin Flon,CA,54.7682,-101.865,14.88,87,47,9.04,scattered clouds
216,Magaria,NE,12.9983,8.9099,77.59,62,30,9.42,scattered clouds
217,Matiri,TZ,-10.75,34.9,59.99,96,97,4.03,overcast clouds
218,Alofi,NU,-19.0595,-169.9187,81.9,72,98,5.44,light rain
219,Wieliczka,PL,49.9874,20.0647,36.09,78,7,3.44,clear sky
220,Cayenne,GF,4.9333,-52.3333,81.09,1,100,10.36,overcast clouds
221,Porto Velho,BR,-8.7619,-63.9039,77.05,94,75,2.3,broken clouds
222,Zhigansk,RU,66.7697,123.3711,11.21,75,100,4.12,overcast clouds
223,Riverton,US,40.5219,-111.9391,33.04,74,0,8.05,clear sky
224,Sinop,TR,41.7711,34.8709,35.56,66,100,7.18,light rain
225,Terek,RU,43.4833,44.1361,42.08,77,100,3.51,overcast clouds
226,Vanimo,PG,-2.6741,141.3028,86.43,65,69,8.25,broken clouds
227,Ilulissat,GL,69.2167,-51.1,15.82,79,95,8.05,overcast clouds
228,Horta,PT,38.5333,-28.6333,61.29,83,100,25.23,overcast clouds
229,Huarmey,PE,-10.0681,-78.1522,67.26,86,67,8.79,broken clouds
230,Touros,BR,-5.1989,-35.4608,77.29,79,53,6.87,broken clouds
231,La Asuncion,VE,11.0333,-63.8628,76.95,85,17,17.96,few clouds
232,Ponazyrevo,RU,58.3578,46.3142,43.57,90,100,4.14,overcast clouds
233,Waipawa,NZ,-41.4122,175.5153,54.34,73,100,18.68,overcast clouds
234,Dahanu,IN,19.9667,72.7333,88.05,44,52,4.03,broken clouds
235,Nicoya,CR,10.1483,-85.452,79.14,68,73,7.47,broken clouds
236,Samarai,PG,-10.6167,150.6667,84.74,72,89,11.07,overcast clouds
237,Andenes,NO,69.3143,16.1194,34.93,93,75,12.66,broken clouds
238,Mount Isa,AU,-20.7333,139.5,94.77,21,100,10.36,overcast clouds
239,Syracuse,IT,37.0881,15.2792,46.31,76,100,4.03,overcast clouds
240,San Lorenzo,PY,-25.3333,-57.5333,70.74,88,0,4.61,clear sky
241,Port Augusta,AU,-32.5,137.7667,89.71,22,14,6.15,few clouds
242,Ghanzi,BW,-21.5667,21.7833,67.5,54,92,6.38,overcast clouds
243,Vila Do Maio,CV,15.1333,-23.2167,68.79,80,100,15.99,overcast clouds
244,Jamalpur,BD,24.9167,89.9333,88.65,60,17,8.81,few clouds
245,Matara,LK,5.9485,80.5353,82.71,80,100,3.74,light rain
246,Yaan,NG,7.3833,8.5667,74.91,86,98,2.37,overcast clouds
247,Ariquemes,BR,-9.9133,-63.0408,73.67,96,97,1.83,overcast clouds
248,Masunga,BW,-20.6246,27.4488,66.31,62,70,5.57,broken clouds
249,Acarau,BR,-2.8856,-40.12,77.67,87,69,7.36,broken clouds
250,Corpus Christi,US,27.8006,-97.3964,77.02,87,100,18.41,overcast clouds
251,Coahuayana,MX,18.7333,-103.6833,72.9,85,78,1.57,broken clouds
252,Tuatapere,NZ,-46.1333,167.6833,56.12,60,23,3.74,few clouds
253,Polyanka,UA,50.2584,27.6881,37.49,66,57,14.99,broken clouds
254,Te Anau,NZ,-45.4167,167.7167,56.86,54,1,1.16,clear sky
255,Hovd,MN,48.0056,91.6419,39.25,38,9,12.17,clear sky
256,Rocha,UY,-34.4833,-54.3333,53.56,67,3,4.41,clear sky
257,Bichena,ET,10.45,38.2,59.23,56,99,0.38,overcast clouds
258,Brae,GB,60.3964,-1.353,43.52,93,100,15.03,overcast clouds
259,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,92,100,22.75,overcast clouds
260,Kyzyl-Suu,KG,42.3414,78.0056,55.63,55,69,4.03,broken clouds
261,Aljezur,PT,37.3191,-8.8033,54.09,90,61,10.45,broken clouds
262,Zhangye,CN,38.9342,100.4517,52.41,18,100,5.08,overcast clouds
263,Charters Towers,AU,-20.1,146.2667,88.68,28,41,12.5,scattered clouds
264,Wau,SS,7.7029,27.9953,78.28,59,24,4.0,few clouds
265,Norton,ZW,-17.8833,30.7,61.29,98,31,3.65,scattered clouds
266,Texarkana,US,33.4251,-94.0477,66.42,88,100,15.01,thunderstorm with rain
267,Henties Bay,,-22.116,14.2845,62.24,79,99,7.56,overcast clouds
268,Mecca,SA,21.4267,39.8261,82.26,32,31,2.08,scattered clouds
269,Charcas,MX,23.1333,-101.1167,67.12,26,88,18.52,overcast clouds
270,Tombouctou,ML,20.0,-3.0,79.25,7,9,9.13,clear sky
271,Boksitogorsk,RU,59.474,33.8485,29.46,92,69,2.77,broken clouds
272,Youkounkoun,GN,12.5333,-13.1333,78.12,51,93,7.61,overcast clouds
273,Porto Novo,BJ,6.4965,2.6036,78.03,81,100,4.79,overcast clouds
274,Arraial Do Cabo,BR,-22.9661,-42.0278,76.35,88,76,18.23,broken clouds
275,Kisangani,CD,0.5167,25.2,70.48,98,45,2.06,scattered clouds
276,Daru,PG,-9.0763,143.2092,85.84,74,100,9.98,overcast clouds
277,Mahibadhoo,MV,3.7833,72.9667,84.88,73,90,14.9,moderate rain
278,Pirgos,GR,35.1167,25.7178,54.63,62,21,7.38,few clouds
279,Dubuque,US,42.4833,-90.8668,66.61,77,100,16.11,overcast clouds
280,Half Moon Bay,US,37.4636,-122.4286,49.78,72,0,23.02,clear sky
281,Tripoli,LY,32.8752,13.1875,59.72,71,62,22.5,broken clouds
282,Hami,CN,42.8,93.45,59.45,7,48,5.37,scattered clouds
283,Yakima,US,46.4665,-120.6678,36.84,93,100,4.61,overcast clouds
284,Lampazos De Naranjo,MX,27.0167,-100.5167,81.66,37,10,13.58,clear sky
285,Camacha,PT,33.0833,-16.3333,58.42,77,40,13.8,scattered clouds
286,Norman Wells,CA,65.282,-126.8329,13.41,91,14,5.84,few clouds
287,Beloha,MG,-25.1667,45.05,71.4,85,88,10.33,overcast clouds
288,Ciamis,ID,-7.3257,108.3534,87.19,56,45,3.96,scattered clouds
289,Kenai,US,60.5544,-151.2583,44.69,45,0,8.05,clear sky
290,Tukrah,LY,32.5341,20.5791,56.75,62,95,8.12,overcast clouds
291,Yining,CN,29.0361,114.5636,61.02,92,100,3.13,light rain
292,Faanui,PF,-16.4833,-151.75,82.38,71,16,14.09,few clouds
293,Noyabrsk,RU,63.1994,75.4507,33.96,94,71,13.35,broken clouds
294,Seoul,KR,37.5683,126.9778,56.64,67,100,9.24,overcast clouds
295,Yumen,CN,40.2833,97.2,50.4,14,100,14.03,overcast clouds
296,Heidelberg,ZA,-26.5048,28.3592,55.94,78,2,0.45,clear sky
297,Yerbogachen,RU,61.2767,108.0108,33.42,71,68,9.86,broken clouds
298,Leningradskiy,RU,69.3833,178.4167,2.05,85,57,13.65,broken clouds
299,Boyolangu,ID,-8.1181,111.8935,85.51,62,65,6.42,broken clouds
300,Yibin,CN,28.7667,104.6238,77.22,60,60,3.91,broken clouds
301,Batagay-Alyta,RU,67.8006,130.4114,8.76,79,100,3.29,overcast clouds
302,Sisimiut,GL,66.9395,-53.6735,20.46,80,21,5.28,few clouds
303,Alice Springs,AU,-23.7,133.8833,94.55,17,2,8.05,clear sky
304,Abaza,RU,52.655,90.0928,36.48,60,81,6.35,broken clouds
305,Viedma,AR,-40.8135,-62.9967,50.27,49,5,9.53,clear sky
306,Oranjestad,AW,12.524,-70.027,78.55,87,48,23.4,scattered clouds
307,Beringovskiy,RU,63.05,179.3167,27.46,97,100,13.89,snow
308,Ranong,TH,9.9658,98.6348,86.13,69,33,5.7,scattered clouds
309,Fujin,CN,47.26,132.0322,46.08,28,74,13.67,broken clouds
310,Linxia,CN,35.6003,103.2064,55.24,29,18,7.23,few clouds
311,Bairiki,KI,1.3292,172.9752,86.0,74,20,11.5,few clouds
312,Yulara,AU,-25.2406,130.9889,98.44,9,29,12.66,scattered clouds
313,Uvat,RU,59.1433,68.8953,41.07,76,99,6.89,overcast clouds
314,Kavaratti,IN,10.5669,72.642,85.21,69,100,5.3,very heavy rain
315,Sabalgarh,IN,26.25,77.4,97.84,10,4,9.35,clear sky
