City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Araouane,ML,80.06,scattered clouds,18.9048,-3.5265,Araouane
457,Bandarbeyla,SO,80.29,clear sky,9.4942,50.8122,Bandarbeyla
459,Lamu,KE,84.42,light rain,-2.2717,40.902,Lamu
460,Wad Rawah,SD,85.33,few clouds,15.1603,33.1397,Wad Rawah
463,Biak,ID,85.05,overcast clouds,-0.9131,122.8766,CV. MEGA RENTAL Mobil Luwuk Banggai
468,Zinder,NE,75.52,few clouds,13.8072,8.9881,Zinder
476,Victor Harbor,AU,78.67,clear sky,-35.5667,138.6167,Victor Harbor - Goolwa
482,Kununurra,AU,89.58,broken clouds,-15.7667,128.7333,Kununurra
492,Ca Mau,VN,91.06,scattered clouds,9.1769,105.15,Cà Mau
494,Princeton,US,76.01,few clouds,25.5384,-80.4089,Goulds
496,Arawa,PG,85.48,light rain,-6.2132,155.5367,Arawa
503,Nuevo Progreso,MX,77.54,scattered clouds,23.1667,-97.95,Sebastián Ríos
505,Karratha,AU,92.16,clear sky,-20.7377,116.8463,Karratha
506,Ewa Beach,US,80.55,broken clouds,21.3156,-158.0072,Ewa
507,Panguna,PG,78.39,light rain,-6.3164,155.4848,Panguna
510,Lodwar,KE,83.1,broken clouds,3.1191,35.5973,Lodwar
512,Garowe,SO,75.42,few clouds,8.4054,48.4845,Garowe
516,Narasannapeta,IN,91.0,scattered clouds,18.4167,84.05,Narasannapeta
518,Fare,PF,82.33,clear sky,-16.7,-151.0167,Fare
520,Iralaya,HN,78.4,few clouds,15.0,-83.2333,Iralaya
521,Humberto De Campos,BR,75.65,overcast clouds,-2.5983,-43.4611,Humberto de Campos
522,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Wilson Hill
524,San Fernando,PH,91.08,broken clouds,15.0286,120.6898,San Fernando
526,Duku,NG,79.74,overcast clouds,11.2361,4.9073,Dukku
532,Aitape,PG,86.86,light rain,-3.1374,142.3475,Aitape
536,Nabire,ID,85.84,scattered clouds,-3.3667,135.4833,Nabire
538,Bongued,PH,88.52,broken clouds,7.1167,124.4,Midsayap
542,Arlit,NE,81.14,clear sky,18.7369,7.3853,Arlit
543,Keti Bandar,PK,82.72,clear sky,24.1447,67.4497,Keti Bandar
546,Alugan,PH,80.96,light rain,12.2188,125.4808,San Policarpo
547,Hervey Bay,AU,77.02,broken clouds,-25.2986,152.8535,Hervey Bay
550,Iracoubo,GF,77.4,broken clouds,5.4802,-53.2011,Iracoubo
551,Honiara,SB,85.91,few clouds,-9.4333,159.95,Honiara
556,Sao Jose Da Coroa Grande,BR,77.16,broken clouds,-8.8978,-35.1478,São José da Coroa Grande
559,Yarada,IN,91.72,few clouds,17.65,83.2667,Visakhapatnam
562,Pasni,PK,80.6,clear sky,25.2631,63.471,Pasni
563,Sur,OM,91.74,clear sky,22.5667,59.5289,Sur
572,Fayaoue,NC,78.57,scattered clouds,-20.65,166.5333,Fayaoue
573,Nortelandia,BR,76.78,broken clouds,-14.4547,-56.8028,Nortelândia
580,Rapar,IN,87.8,clear sky,23.5667,70.6333,Rapar
584,Yenagoa,NG,75.38,moderate rain,4.9247,6.2642,Yenagoa
591,Kpandae,GH,79.18,overcast clouds,8.4689,-0.0113,Kpandai
593,Eydhafushi,MV,84.51,overcast clouds,5.1033,73.0708,Eydhafushi
595,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Boa Vista
599,Vao,NC,75.63,clear sky,-22.6667,167.4833,Vao
606,Kahului,US,80.62,few clouds,20.8947,-156.47,Kahului
609,Poum,NC,78.8,clear sky,-20.2333,164.0167,Poum
614,Broken Hill,AU,76.03,clear sky,-31.95,141.4333,Broken Hill
616,Padang,ID,87.85,scattered clouds,-0.9492,100.3543,Padang
619,Multan,PK,85.89,haze,30.1956,71.4753,Multan
629,Wattegama,LK,82.94,overcast clouds,6.7989,81.4808,Wattegama
633,Tanete,ID,91.69,overcast clouds,-3.9443,119.7848,Pangkadjene
635,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Cabedelo
641,Doha,QA,85.98,few clouds,25.2867,51.5333,Doha
642,Ransang,PH,83.1,overcast clouds,8.9603,117.5828,Rizal
647,Edd,ER,89.44,clear sky,13.9297,41.6925,Idi
650,Ciudad Bolivar,VE,79.75,scattered clouds,8.1222,-63.5497,Ciudad Bolívar
654,Lao Cai,VN,89.33,scattered clouds,22.4833,103.95,Honghe Hani and Yi Autonomous Prefecture
660,Anjar,IN,89.13,clear sky,23.1333,70.0167,Anjar
662,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Neiafu
669,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,San Andrés
670,Samdari,IN,85.3,clear sky,25.8167,72.5833,Samdari
682,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Vila Velha
684,Micheweni,TZ,79.99,light rain,-4.9667,39.8333,Maziwa Ngombe
686,Bandar-E Lengeh,IR,82.51,clear sky,26.5579,54.8807,Bandar Lengeh
